App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Installs_num,Price_num,Size_MB,Primary_Genre
Hungry Shark World,GAME,4.5,1242855,27M,"50,000,000+",Free,0,Teen,Action,2018-07-18,3.0.0,4.2 and up,50000000.0,0.0,27.0,Action
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,0,Everyone,Action,2017-04-12,1.6.1,4.0.3 and up,10000000.0,0.0,70.0,Action
Shadow Fight 2,GAME,4.6,10979062,88M,"100,000,000+",Free,0,Everyone 10+,Action,2018-07-02,1.9.38,3.0 and up,100000000.0,0.0,88.0,Action
Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,0,Everyone,Action,2018-06-05,1.7.1,4.0 and up,10000000.0,0.0,63.0,Action
DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,0,Teen,Action,2018-06-26,5.1.2,3.0 and up,10000000.0,0.0,82.0,Action
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,Varies with device,"50,000,000+",Free,0,Mature 17+,Action,2018-07-23,Varies with device,Varies with device,50000000.0,0.0,,Action
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,0,Teen,Action,2018-08-03,1.8.20,4.1 and up,10000000.0,0.0,31.0,Action
Anger of stick 5 : zombie,GAME,4.5,549039,23M,"50,000,000+",Free,0,Teen,Action,2018-08-03,1.1.5,2.3 and up,50000000.0,0.0,23.0,Action
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,"50,000,000+",Free,0,Everyone,Action,2018-07-09,2.11.1,4.1 and up,50000000.0,0.0,,Action
Soul Knight,GAME,4.7,292164,59M,"10,000,000+",Free,0,Everyone 10+,Action,2018-08-01,1.8.4,4.1 and up,10000000.0,0.0,59.0,Action
Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,0,Teen,Action,2017-06-28,108,4.0 and up,10000000.0,0.0,39.0,Action
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,"10,000,000+",Free,0,Teen,Action,2017-03-14,3.1.1,3.0 and up,10000000.0,0.0,54.0,Action
Strawberry Shortcake BerryRush,GAME,4.3,525517,48M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,2017-10-15,1.2.3,2.3 and up,10000000.0,0.0,48.0,Action
Extreme Match,GAME,4.5,696,Varies with device,"100,000+",Free,0,Everyone,Action,2018-07-05,1.1.7,4.1 and up,100000.0,0.0,,Action
Power Rangers Dino Charge,GAME,4.3,194969,30M,"10,000,000+",Free,0,Everyone 10+,Action,2018-01-29,1.4.0,4.1 and up,10000000.0,0.0,30.0,Action
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66M,"10,000,000+",Free,0,Teen,Action,2017-07-28,2.4.2,2.3.3 and up,10000000.0,0.0,66.0,Action
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,0,Everyone,Action,2018-07-23,2.2.8,4.0.3 and up,100000000.0,0.0,32.0,Action
Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,0,Everyone 10+,Action,2018-07-16,0.5.8,4.1 and up,1000000.0,0.0,61.0,Action
Once Upon a Tower,GAME,4.7,37139,49M,"1,000,000+",Free,0,Everyone 10+,Action,2018-01-24,8,4.1 and up,1000000.0,0.0,49.0,Action
TEKKEN™,GAME,4.2,147791,38M,"5,000,000+",Free,0,Teen,Action,2018-07-26,1.3,5.0 and up,5000000.0,0.0,38.0,Action
diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,0,Everyone,Action,2018-03-16,1.2.7,4.0.3 and up,10000000.0,0.0,20.0,Action
Arrow.io,GAME,4.5,343263,Varies with device,"10,000,000+",Free,0,Everyone 10+,Action,2018-08-06,1.2.6,4.0.3 and up,10000000.0,0.0,,Action
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,2018-07-16,Varies with device,Varies with device,10000000.0,0.0,,Action
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,0,Everyone 10+,Action,2017-10-12,1.2.7,4.1 and up,10000000.0,0.0,66.0,Action
Bus Rush: Subway Edition,GAME,4.1,753043,57M,"100,000,000+",Free,0,Teen,Action,2018-08-01,1.15.2,4.0.3 and up,100000000.0,0.0,57.0,Action
DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,0,Everyone,Action;Action & Adventure,2018-06-29,2.8.0,4.0 and up,5000000.0,0.0,95.0,Action
Tiny Archers,GAME,4.5,80678,Varies with device,"5,000,000+",Free,0,Mature 17+,Action,2018-05-25,Varies with device,Varies with device,5000000.0,0.0,,Action
Metal Soldiers 2,GAME,4.4,153381,Varies with device,"10,000,000+",Free,0,Teen,Action,2018-06-18,1.11.2,4.1 and up,10000000.0,0.0,,Action
Runner 3d like,GAME,4.5,559,32M,"100,000+",Free,0,Everyone 10+,Action,2018-08-03,1.0.7,4.0 and up,100000.0,0.0,32.0,Action
War Robots,GAME,4.6,3073251,33M,"50,000,000+",Free,0,Everyone 10+,Action,2018-07-25,4.1.1,4.1 and up,50000000.0,0.0,33.0,Action
Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,"5,000,000+",Free,0,Teen,Action,2018-08-05,1.2,4.2 and up,5000000.0,0.0,66.0,Action
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,"50,000,000+",Free,0,Teen,Action,2018-08-01,2.6.61,4.0.3 and up,50000000.0,0.0,75.0,Action
Quiz: Logo game,GAME,4.5,306764,29M,"10,000,000+",Free,0,Everyone,Trivia,2018-08-03,6.2,4.0.3 and up,10000000.0,0.0,29.0,Trivia
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,"10,000,000+",Free,0,Everyone,Arcade,2018-07-20,2.11.2,4.0.3 and up,10000000.0,0.0,50.0,Arcade
Bubble Shooter Genies,GAME,4.5,26985,41M,"5,000,000+",Free,0,Everyone,Casual,2018-06-04,1.9.1,4.0.3 and up,5000000.0,0.0,41.0,Casual
Blossom Blast Saga,GAME,4.5,1125438,63M,"10,000,000+",Free,0,Everyone,Casual,2018-07-05,57.0.8,4.0.3 and up,10000000.0,0.0,63.0,Casual
Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,0,Everyone,Casual;Brain Games,2018-07-04,2.9.3181,4.0.3 and up,10000000.0,0.0,20.0,Casual
Gems or jewels ?,GAME,4.7,171448,13M,"10,000,000+",Free,0,Teen,Puzzle,2018-08-03,1.0.109,4.0 and up,10000000.0,0.0,13.0,Puzzle
Power Pop Bubbles,GAME,4.4,104303,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,2018-08-02,3.15,4.1 and up,10000000.0,0.0,,Arcade
Jewels classic Prince,GAME,4.4,47644,15M,"5,000,000+",Free,0,Everyone,Puzzle,2018-06-15,2.4.2,4.0 and up,5000000.0,0.0,15.0,Puzzle
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,0,Everyone,Casual,2018-07-23,60,4.1 and up,10000000.0,0.0,33.0,Casual
Bubble Shooter Space,GAME,4.2,4355,Varies with device,"1,000,000+",Free,0,Everyone,Casual,2017-07-17,1.6,2.3 and up,1000000.0,0.0,,Casual
1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,0,Everyone,Board,2018-08-03,2.0.4,4.1 and up,10000000.0,0.0,10.0,Board
Stick War: Legacy,GAME,4.6,811040,77M,"10,000,000+",Free,0,Teen,Strategy,2018-05-10,1.7.04,4.4 and up,10000000.0,0.0,77.0,Strategy
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,2018-08-03,1.3.35,4.1 and up,10000000.0,0.0,,Puzzle
Super Jabber Jump 3,GAME,4.3,34494,23M,"5,000,000+",Free,0,Everyone 10+,Arcade,2018-07-11,2.5.3182,2.3 and up,5000000.0,0.0,23.0,Arcade
Rush,GAME,4.6,260651,51M,"10,000,000+",Free,0,Everyone,Arcade,2018-02-14,1.1,4.0 and up,10000000.0,0.0,51.0,Arcade
Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,2018-07-19,1.10.12,4.1 and up,100000000.0,0.0,96.0,Arcade
Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",Free,0,Everyone,Racing,2016-11-22,1.0,2.3.3 and up,50000000.0,0.0,38.0,Racing
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2018-05-22,1.4.12,4.1 and up,10000000.0,0.0,24.0,Simulation
Jewels Crush- Match 3 Puzzle,FAMILY,4.4,14774,19M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-07-23,1.9.3901,4.0.3 and up,1000000.0,0.0,19.0,Casual
Coloring & Learn,FAMILY,4.4,12753,51M,"5,000,000+",Free,0,Everyone,Educational;Creativity,2018-07-17,1.49,4.0.3 and up,5000000.0,0.0,51.0,Educational
Mahjong,FAMILY,4.5,33983,22M,"5,000,000+",Free,0,Everyone,Puzzle;Brain Games,2018-08-02,1.24.3181,4.0.3 and up,5000000.0,0.0,22.0,Puzzle
Super ABC! Learning games for kids! Preschool apps,FAMILY,4.6,20267,46M,"1,000,000+",Free,0,Everyone,Educational;Education,2018-07-16,1.1.6.7,4.1 and up,1000000.0,0.0,46.0,Educational
Toy Pop Cubes,FAMILY,4.5,5761,21M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-07-04,1.8.3181,4.0.3 and up,1000000.0,0.0,21.0,Casual
Educational Games 4 Kids,FAMILY,4.3,11618,39M,"5,000,000+",Free,0,Everyone,Educational;Education,2018-04-03,2.4,4.1 and up,5000000.0,0.0,39.0,Educational
Candy Pop Story,FAMILY,4.7,12948,23M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-05-24,2.0.3165,2.3 and up,1000000.0,0.0,23.0,Casual
Candy Smash,FAMILY,4.5,11436,15M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-04-17,2.2.3169,4.0.3 and up,1000000.0,0.0,15.0,Casual
Happy Fruits Bomb - Cube Blast,FAMILY,4.5,2150,20M,"500,000+",Free,0,Everyone,Casual;Brain Games,2018-02-01,1.0.3122,4.0.3 and up,500000.0,0.0,20.0,Casual
Princess Adventures Puzzles,FAMILY,4.4,382,44M,"500,000+",Free,0,Everyone,Education;Creativity,2018-08-01,1.1.0,2.3 and up,500000.0,0.0,44.0,Education
Kids Educational Game 3 Free,FAMILY,4.3,24936,38M,"5,000,000+",Free,0,Everyone,Educational;Education,2018-05-16,3.1,4.1 and up,5000000.0,0.0,38.0,Educational
Puzzle Kids - Animals Shapes and Jigsaw Puzzles,FAMILY,4.6,1109,52M,"1,000,000+",Free,0,Everyone,Educational;Brain Games,2018-07-18,1.0.6,4.1 and up,1000000.0,0.0,52.0,Educational
Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,2018-06-15,8.25.10.00,4.0.3 and up,10000000.0,0.0,49.0,Educational
Kids Educational :All in One,FAMILY,4.5,1455,8.9M,"500,000+",Free,0,Everyone,Education;Education,2018-02-01,2.7,2.3 and up,500000.0,0.0,8.9,Education
Number Counting games for toddler preschool kids,FAMILY,4.3,1024,Varies with device,"1,000,000+",Free,0,Everyone,Educational;Education,2018-05-28,Varies with device,Varies with device,1000000.0,0.0,,Educational
Toca Kitchen 2,FAMILY,4.5,1014822,56M,"50,000,000+",Free,0,Everyone,Educational;Pretend Play,2017-06-29,1.2.3-play,4.1 and up,50000000.0,0.0,56.0,Educational
PJ Masks: Moonlight Heroes,FAMILY,4.4,86961,99M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-06-05,2.0.1,4.0.3 and up,10000000.0,0.0,99.0,Casual
Learn To Draw Glow Flower,FAMILY,4.4,7320,10M,"1,000,000+",Free,0,Everyone,Entertainment;Education,2017-07-07,1.0.1,4.0.3 and up,1000000.0,0.0,10.0,Entertainment
"No. Color - Color by Number, Number Coloring",FAMILY,4.8,269194,6.9M,"10,000,000+",Free,0,Everyone,Entertainment;Brain Games,2018-08-03,Varies with device,Varies with device,10000000.0,0.0,6.9,Entertainment
Draw.ly - Color by Number Pixel Art Coloring,FAMILY,4.4,18616,10M,"1,000,000+",Free,0,Everyone,Casual;Education,2018-08-05,1.0.9,4.0.3 and up,1000000.0,0.0,10.0,Casual
Baby puzzles,FAMILY,4.3,11950,19M,"5,000,000+",Free,0,Everyone,Educational;Education,2018-07-12,6.1,4.0.3 and up,5000000.0,0.0,19.0,Educational
Garden Fruit Legend,FAMILY,4.6,4289,33M,"500,000+",Free,0,Everyone,Casual;Brain Games,2018-07-31,3.5.3183,4.0.3 and up,500000.0,0.0,33.0,Casual
Candy Day,FAMILY,4.5,11716,48M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-08-03,8.4.3180,4.0 and up,1000000.0,0.0,48.0,Casual
Learn To Draw Glow Princess,FAMILY,4.5,3323,9.6M,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,2017-07-14,1.0.1,4.0.3 and up,1000000.0,0.0,9.6,Casual
ABC Kids - Tracing & Phonics,FAMILY,4.5,36606,Varies with device,"10,000,000+",Free,0,Everyone,Educational;Education,2018-06-22,Varies with device,4.0 and up,10000000.0,0.0,,Educational
Barbie Magical Fashion,FAMILY,4.0,328619,15M,"10,000,000+",Free,0,Everyone,Casual;Creativity,2017-10-06,2.2,4.1 and up,10000000.0,0.0,15.0,Casual
Piano Kids - Music & Songs,FAMILY,4.6,46741,50M,"10,000,000+",Free,0,Everyone,Music;Music & Video,2018-08-03,1.73,4.0.3 and up,10000000.0,0.0,50.0,Music
Farming Simulator 14,FAMILY,4.5,530854,51M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2017-07-17,1.4.4,2.3.3 and up,10000000.0,0.0,51.0,Simulation
Educational Games for Kids,FAMILY,4.5,7050,24M,"1,000,000+",Free,0,Everyone,Educational;Education,2018-05-27,2.0,4.0 and up,1000000.0,0.0,24.0,Educational
Fruit Boom,FAMILY,4.4,17753,16M,"1,000,000+",Free,0,Everyone,Casual;Brain Games,2018-05-25,2.2.3172,4.0.3 and up,1000000.0,0.0,16.0,Casual
Hot Wheels: Race Off,FAMILY,4.5,520609,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,2018-06-28,Varies with device,4.4 and up,10000000.0,0.0,,Racing
Baby Tiger Care - My Cute Virtual Pet Friend,FAMILY,4.5,432,63M,"100,000+",Free,0,Everyone 10+,Educational;Education,2018-07-27,1.0.89,4.4 and up,100000.0,0.0,63.0,Educational
Strawberry Shortcake Ice Cream Island,FAMILY,4.2,32029,15M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,2017-11-06,1.2,4.1 and up,5000000.0,0.0,15.0,Casual
Rhythm Patrol,FAMILY,4.3,4207,26M,"100,000+",Free,0,Everyone,Music;Music & Video,2018-07-23,2.180723,4.1 and up,100000.0,0.0,26.0,Music
Kiddopia - Preschool Learning Games,FAMILY,4.5,64,81M,"10,000+",Free,0,Everyone,Educational;Education,2018-07-18,1.1.2,5.0 and up,10000.0,0.0,81.0,Educational
Toca Mystery House,FAMILY,4.2,96,79M,"5,000+",Paid,$3.99,Everyone,Educational;Creativity,2018-06-14,1.0.1,4.4 and up,5000.0,3.99,79.0,Educational
DisneyNOW – TV Shows & Games,FAMILY,4.3,82471,Varies with device,"5,000,000+",Free,0,Everyone,Entertainment;Music & Video,2018-07-05,Varies with device,4.4 and up,5000000.0,0.0,,Entertainment
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,2018-07-11,1.0,4.2 and up,100000.0,0.0,94.0,Education
Drawing for Kids Learning Games for Toddlers age 3,FAMILY,4.6,29436,43M,"1,000,000+",Free,0,Everyone,Educational;Education,2018-03-21,2.0.5.0,4.1 and up,1000000.0,0.0,43.0,Educational
Baby Panda’s Juice Shop,FAMILY,4.5,19230,45M,"5,000,000+",Free,0,Everyone,Educational;Brain Games,2018-07-12,8.25.10.01,4.0.3 and up,5000000.0,0.0,45.0,Educational
Dr. Panda Restaurant 3,FAMILY,4.2,11126,91M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,2018-03-23,1.6.4,4.1 and up,1000000.0,0.0,91.0,Educational
LEGO® Friends: Heartlake Rush,FAMILY,4.5,23671,91M,"1,000,000+",Free,0,Everyone,Arcade;Pretend Play,2018-07-31,1.2.0,4.1 and up,1000000.0,0.0,91.0,Arcade
Baby ABC in box! Kids alphabet games for toddlers!,FAMILY,4.6,9652,53M,"1,000,000+",Free,0,Everyone,Educational;Education,2018-07-16,2.0.7.4,4.1 and up,1000000.0,0.0,53.0,Educational
Henry Danger Crime Warp,FAMILY,4.6,9626,28M,"1,000,000+",Free,0,Everyone,Action;Action & Adventure,2018-02-07,1.1,4.4 and up,1000000.0,0.0,28.0,Action
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-05-18,2.4,4.4 and up,5000000.0,0.0,26.0,Casual
Super School: Educational Kids Games & Rhymes,FAMILY,4.5,1791,56M,"500,000+",Free,0,Everyone,Education;Education,2018-06-02,5.3.11,5.0 and up,500000.0,0.0,56.0,Education
Fruit Cube Blast,FAMILY,4.6,9199,80M,"500,000+",Free,0,Everyone,Puzzle;Brain Games,2018-08-03,1.2.7,4.1 and up,500000.0,0.0,80.0,Puzzle
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,14014,60M,"1,000,000+",Free,0,Everyone,Education;Education,2018-07-06,7.32,4.0.3 and up,1000000.0,0.0,60.0,Education
Happy Street,FAMILY,4.5,110877,Varies with device,"1,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,2018-03-28,Varies with device,Varies with device,1000000.0,0.0,,Casual
Intellijoy Early Learning Academy,FAMILY,4.3,160,67M,"50,000+",Free,0,Everyone,Education;Education,2018-06-18,3.4.0,Varies with device,50000.0,0.0,67.0,Education
Dr. Panda Town: Vacation,FAMILY,3.8,10366,78M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,2018-07-24,1.2.1,4.1 and up,1000000.0,0.0,78.0,Education
Leo and Tig,FAMILY,4.5,47644,27M,"1,000,000+",Free,0,Everyone,Adventure;Action & Adventure,2018-05-31,10.180530,4.0.3 and up,1000000.0,0.0,27.0,Adventure
School of Dragons,FAMILY,4.1,530792,Varies with device,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,2018-05-30,Varies with device,Varies with device,10000000.0,0.0,,Role Playing
Fuzzy Seasons: Animal Forest,FAMILY,4.8,12137,63M,"100,000+",Free,0,Everyone 10+,Simulation;Pretend Play,2018-08-06,149,4.1 and up,100000.0,0.0,63.0,Simulation
Montessori Preschool,FAMILY,3.9,237,26M,"100,000+",Free,0,Everyone,Education;Education,2018-07-12,1.7.2,4.1 and up,100000.0,0.0,26.0,Education
Kids Corner: Interactive Tales and Games for kids,FAMILY,4.5,6404,46M,"500,000+",Free,0,Everyone,Educational;Brain Games,2018-07-16,1.8.3,4.1 and up,500000.0,0.0,46.0,Educational
Cutie Cubies,FAMILY,4.4,6356,83M,"500,000+",Free,0,Everyone,Puzzle;Creativity,2018-07-04,1.180702,4.1 and up,500000.0,0.0,83.0,Puzzle
My Little Princess : Stores,FAMILY,4.3,169,60M,"5,000+",Paid,$2.99,Everyone,Educational;Pretend Play,2018-05-25,1.08,4.1 and up,5000.0,2.99,60.0,Educational
Sago Mini Big City,FAMILY,4.2,8,44M,"1,000+",Paid,$3.99,Everyone,Education;Pretend Play,2018-07-09,1.1,4.4 and up,1000.0,3.99,44.0,Education
Pinkalicious Party,FAMILY,3.0,2,82M,500+,Paid,$2.99,Everyone,Educational;Creativity,2018-06-25,1.5.0,4.1 and up,500.0,2.99,82.0,Educational
Moana Island Life,FAMILY,4.1,15246,78M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2017-07-12,3.2.473.202,4.0 and up,1000000.0,0.0,78.0,Simulation
Basketball FRVR - Shoot the Hoop and Slam Dunk!,FAMILY,4.5,4076,Varies with device,"100,000+",Free,0,Everyone,Sports;Action & Adventure,2018-08-01,1.3.3,4.1 and up,100000.0,0.0,,Sports
My Oasis - Calming and Relaxing Idle Clicker Game,FAMILY,4.6,106750,94M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2018-06-29,1.221,4.1 and up,1000000.0,0.0,94.0,Simulation
My Little Pony Rainbow Runners,FAMILY,4.3,33785,16M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,2017-12-20,1.3,4.1 and up,5000000.0,0.0,16.0,Casual
Extreme Racing 2 - Real driving RC cars game!,FAMILY,4.3,4207,93M,"500,000+",Free,0,Everyone,Racing;Action & Adventure,2017-08-31,1.1.9,4.1 and up,500000.0,0.0,93.0,Racing
Cars: Lightning League,FAMILY,4.5,58795,77M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,2018-05-21,1.6,4.0.3 and up,10000000.0,0.0,77.0,Racing
Little Panda Run,FAMILY,4.2,3235,32M,"1,000,000+",Free,0,Everyone,Educational;Action & Adventure,2018-06-20,8.25.10.00,4.0.3 and up,1000000.0,0.0,32.0,Educational
Snoopy's Town Tale - City Building Simulator,FAMILY,4.2,47031,58M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2018-07-30,3.2.4,4.4 and up,1000000.0,0.0,58.0,Simulation
Car Racing game for Kids - Beepzz Dogs 🐕,FAMILY,4.4,131,48M,"100,000+",Free,0,Everyone,Racing;Action & Adventure,2018-06-13,1.1.1,4.2 and up,100000.0,0.0,48.0,Racing
Pony Friends 🦄 - Beepzz racing game for kids,FAMILY,4.5,114,69M,"50,000+",Free,0,Everyone,Racing;Action & Adventure,2018-06-13,1.4.3,4.2 and up,50000.0,0.0,69.0,Racing
LEGO® Juniors Create & Cruise,FAMILY,4.1,673203,73M,"50,000,000+",Free,0,Everyone,Educational;Action & Adventure,2018-01-19,6.7.5222,4.1 and up,50000000.0,0.0,73.0,Educational
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,4.2,2178,99M,"500,000+",Free,0,Everyone,Racing;Action & Adventure,2017-08-23,1.0.8,4.1 and up,500000.0,0.0,99.0,Racing
Thomas & Friends: Go Go Thomas,FAMILY,4.1,175625,16M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,2017-11-22,1.4,4.1 and up,10000000.0,0.0,16.0,Racing
Ninja Dash - Ronin Jump RPG,FAMILY,4.7,8508,54M,"500,000+",Free,0,Everyone 10+,Arcade;Action & Adventure,2018-08-02,1.1.23,4.0.3 and up,500000.0,0.0,54.0,Arcade
Paw Patrol by ShuffleCards,FAMILY,4.3,3484,56M,"1,000,000+",Free,0,Everyone,Entertainment;Action & Adventure,2017-03-07,1.0.1,4.0 and up,1000000.0,0.0,56.0,Entertainment
Plants vs. Zombies™ Heroes,FAMILY,4.4,379415,68M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-06-26,1.28.01,4.1 and up,10000000.0,0.0,68.0,Casual
Transformers Rescue Bots: Disaster Dash,FAMILY,4.4,19245,25M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-03-28,1.3,4.1 and up,1000000.0,0.0,25.0,Casual
PAC-MAN Pop,FAMILY,4.3,24877,54M,"5,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,2018-06-20,2.1.6579,4.1 and up,5000000.0,0.0,54.0,Puzzle
L.O.L. Surprise Ball Pop,FAMILY,4.3,10088,Varies with device,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-03-08,Varies with device,4.1 and up,1000000.0,0.0,,Casual
Little Fire Station,FAMILY,4.2,3762,44M,"1,000,000+",Free,0,Everyone,Education;Action & Adventure,2018-07-02,1.47,4.3 and up,1000000.0,0.0,44.0,Education
Ice Cream Jump,FAMILY,4.2,141363,8.7M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-01-21,1.20.2,2.3 and up,10000000.0,0.0,8.7,Casual
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584,91M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2018-08-02,3.2.0h,4.0.3 and up,10000000.0,0.0,91.0,Simulation
Turbo FAST,FAMILY,4.3,1329192,97M,"50,000,000+",Free,0,Everyone,Racing;Action & Adventure,2017-10-04,2.1.20,2.3.3 and up,50000000.0,0.0,97.0,Racing
My Little Pony: Harmony Quest,FAMILY,4.1,148295,26M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,2018-03-05,1.6,4.1 and up,10000000.0,0.0,26.0,Casual
Transformers Rescue Bots: Hero Adventures,FAMILY,4.2,41273,16M,"5,000,000+",Free,0,Everyone,Adventure;Action & Adventure,2018-07-05,1.5,4.1 and up,5000000.0,0.0,16.0,Adventure
Robots Vs Zombies: Transform To Race And Fight,FAMILY,4.5,278,Varies with device,"100,000+",Free,0,Everyone,Racing;Action & Adventure,2018-07-11,3.49,4.2 and up,100000.0,0.0,,Racing
Equestria Girls,FAMILY,4.3,392596,53M,"10,000,000+",Free,0,Everyone,Role Playing;Action & Adventure,2016-07-22,37893,4.0 and up,10000000.0,0.0,53.0,Role Playing
Disney Crossy Road,FAMILY,4.5,514088,83M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,2018-05-30,3.200.18289,4.4 and up,10000000.0,0.0,83.0,Arcade
Touch Racing 2 - Mini RC Race,FAMILY,4.1,41867,78M,"1,000,000+",Free,0,Everyone,Racing;Action & Adventure,2017-05-18,1.4.2.1,2.3.3 and up,1000000.0,0.0,78.0,Racing
Doctor Pets,FAMILY,4.2,23060,21M,"1,000,000+",Free,0,Everyone,Educational;Education,2018-07-26,1.19,4.1 and up,1000000.0,0.0,21.0,Educational
Supermarket – Game for Kids,FAMILY,4.4,112080,26M,"10,000,000+",Free,0,Everyone,Casual;Pretend Play,2018-07-26,1.24,4.1 and up,10000000.0,0.0,26.0,Casual
Supermarket Manager: Cashier Simulator Kids Games,FAMILY,4.0,15489,60M,"1,000,000+",Free,0,Everyone,Casual;Pretend Play,2017-10-11,2.4.9,4.0 and up,1000000.0,0.0,60.0,Casual
Kids Animals Jigsaw Puzzles 😄,FAMILY,4.1,51895,22M,"10,000,000+",Free,0,Everyone,Educational;Brain Games,2018-06-16,18.1,4.2 and up,10000000.0,0.0,22.0,Educational
Inside Out Thought Bubbles,FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,2017-08-31,1.22.0,4.0.3 and up,10000000.0,0.0,58.0,Puzzle
Monster High™,FAMILY,4.1,66661,22M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,2018-02-02,5.2,4.1 and up,5000000.0,0.0,22.0,Casual
Cute Pet Puppies,FAMILY,4.0,10447,36M,"1,000,000+",Free,0,Everyone,Simulation;Action & Adventure,2016-02-18,1.0.4,2.3 and up,1000000.0,0.0,36.0,Simulation
Frozen Free Fall,FAMILY,4.3,1574197,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,2018-07-27,6.7.0,4.2 and up,50000000.0,0.0,37.0,Puzzle
Monster High™ Minis Mania,FAMILY,4.6,19170,70M,"1,000,000+",Free,0,Everyone,Strategy;Action & Adventure,2017-03-15,1.4.2,4.0.3 and up,1000000.0,0.0,70.0,Strategy
